Date,Fuel,Settlement Type,Total,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,0:00
01/01/2023,Biomass,FINAL,399.4,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,3.9,3.9,3.9,3.9,4.0,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
01/01/2023,Coal,FINAL,"106,976.0",921.6,893.1,881.6,863.9,855.5,854.0,847.0,845.3,844.2,853.5,840.2,840.7,847.5,842.7,844.6,848.5,840.4,841.1,843.5,839.5,841.9,844.9,849.3,846.3,847.0,888.8,937.6,952.2,982.4,"1,014.6","1,048.0","1,092.1","1,155.1","1,186.3","1,145.1","1,122.7","1,080.4","1,062.0","1,065.9","1,109.7","1,141.3","1,197.7","1,235.4","1,221.8","1,215.7","1,257.5","1,255.5","1,227.3","1,186.4","1,171.0","1,177.6","1,215.6","1,240.9","1,316.0","1,301.6","1,306.0","1,335.3","1,368.1","1,355.8","1,305.4","1,299.4","1,322.1","1,342.2","1,357.8","1,412.6","1,474.8","1,554.3","1,609.7","1,623.7","1,686.3","1,696.2","1,600.4","1,555.9","1,468.3","1,361.8","1,278.2","1,208.5","1,136.9","1,089.9","1,077.3","1,073.4","1,070.6","1,089.1","1,101.9","1,107.7","1,117.2","1,107.7","1,093.2","1,082.3","1,072.4","1,042.5",989.1,949.3,921.8,913.6,895.7
01/01/2023,Gas,FINAL,"19,409.2",164.3,162.0,158.9,158.2,156.4,152.6,147.9,147.8,146.9,146.3,145.7,145.8,145.0,144.5,144.0,142.6,143.5,142.9,142.3,140.5,140.6,139.1,138.3,138.0,137.7,138.1,138.9,156.1,167.8,182.3,186.9,191.3,197.9,197.8,179.0,199.4,201.0,185.5,172.4,190.5,210.1,208.8,217.5,224.4,224.0,221.9,219.7,199.0,199.1,203.2,201.0,201.3,207.0,214.7,242.0,242.3,250.7,264.9,262.9,253.8,257.1,263.2,267.0,267.4,268.5,303.2,384.3,438.8,443.7,479.7,499.4,465.3,385.0,319.7,233.6,220.5,195.0,180.8,180.6,173.9,171.0,168.9,172.8,173.8,179.6,164.1,162.5,164.9,131.1,126.7,124.7,123.9,123.6,124.1,123.6,122.4
01/01/2023,Gas-CC,FINAL,"216,099.0","1,401.9","1,339.0","1,295.1","1,280.6","1,274.9","1,278.5","1,264.5","1,263.9","1,259.4","1,261.5","1,249.6","1,262.2","1,274.7","1,269.9","1,272.9","1,272.2","1,267.9","1,284.4","1,295.3","1,301.6","1,319.8","1,348.4","1,388.3","1,468.4","1,532.4","1,552.9","1,652.6","1,787.5","1,860.2","1,947.8","1,984.5","1,999.5","2,078.6","2,047.2","1,975.5","2,077.7","2,116.4","2,023.1","2,040.5","2,132.0","2,423.1","2,559.6","2,651.2","2,595.8","2,677.4","2,785.1","2,766.4","2,694.5","2,603.9","2,774.1","2,897.2","3,009.2","3,075.2","3,167.5","3,091.0","3,120.8","3,184.1","3,229.3","3,273.1","3,339.6","3,406.9","3,451.7","3,574.0","3,615.8","3,642.7","3,720.1","3,767.1","3,780.9","3,793.6","3,834.7","3,776.0","3,751.7","3,665.8","3,482.1","3,325.3","3,073.4","2,880.9","2,671.7","2,586.2","2,502.4","2,440.1","2,371.1","2,335.1","2,294.5","2,185.0","1,961.3","1,771.7","1,658.4","1,607.5","1,480.2","1,337.0","1,300.4","1,293.4","1,281.4","1,293.6","1,263.5"
01/01/2023,Hydro,FINAL,259.7,4.1,6.0,6.0,5.9,1.2,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.9,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.2,6.2,6.3,6.2,5.7,5.6,5.8,6.1,1.5,1.4,1.4,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,7.6,7.7,7.8,7.9,7.9,7.8,7.6,7.0,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1
01/01/2023,Nuclear,FINAL,"122,562.2","1,277.5","1,277.7","1,277.6","1,277.8","1,277.5","1,277.7","1,277.5","1,277.4","1,277.3","1,277.4","1,277.5","1,277.6","1,277.5","1,277.3","1,277.4","1,277.3","1,277.4","1,277.4","1,277.4","1,277.3","1,277.4","1,277.4","1,277.4","1,277.3","1,277.3","1,277.3","1,277.2","1,277.1","1,277.2","1,277.2","1,277.1","1,277.4","1,276.9","1,276.8","1,277.0","1,276.8","1,276.8","1,277.1","1,276.9","1,277.6","1,276.8","1,276.7","1,276.4","1,276.8","1,276.6","1,276.3","1,276.4","1,276.5","1,276.6","1,276.4","1,276.4","1,276.5","1,276.8","1,276.2","1,276.7","1,276.4","1,276.5","1,276.4","1,276.3","1,276.6","1,276.2","1,276.3","1,276.1","1,276.0","1,276.2","1,276.5","1,275.8","1,276.3","1,276.2","1,275.7","1,275.7","1,275.7","1,275.8","1,275.9","1,275.9","1,275.8","1,275.9","1,276.4","1,276.3","1,276.2","1,276.1","1,276.3","1,276.2","1,276.0","1,275.8","1,276.2","1,276.2","1,276.5","1,276.1","1,276.2","1,276.0","1,276.2","1,276.1","1,276.2","1,276.4","1,275.9"
01/01/2023,Other,FINAL,"1,607.4",1.4,6.5,6.9,5.0,10.9,3.6,8.1,10.3,4.1,13.7,4.4,22.7,8.9,4.8,3.4,4.0,2.4,19.4,13.4,1.1,13.8,17.9,23.9,6.8,19.5,15.7,24.7,7.8,27.3,39.6,35.5,52.1,19.8,8.5,4.1,18.1,0.6,15.4,48.2,80.6,21.4,12.3,6.0,6.1,19.0,19.4,6.4,2.8,31.0,20.7,19.2,24.9,20.7,26.2,22.9,12.6,29.5,21.0,4.9,36.3,7.1,22.7,9.0,9.1,52.6,26.5,55.4,12.0,25.3,34.0,4.9,5.5,4.2,0.2,0.5,0.7,3.0,29.2,59.2,28.1,4.7,18.6,9.8,7.1,0.8,9.8,15.9,37.1,25.9,42.9,5.0,2.8,5.5,1.8,29.7,2.5
01/01/2023,Solar,FINAL,"46,505.8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.9,37.4,105.8,233.7,394.9,555.9,847.0,"1,103.0","1,282.9","1,402.4","1,474.6","1,566.2","1,553.3","1,610.8","1,544.3","1,482.0","1,562.6","1,649.6","1,676.8","1,632.7","1,589.9","1,599.5","1,596.2","1,603.4","1,677.2","1,699.4","1,681.6","1,664.1","1,662.4","1,580.6","1,542.2","1,412.0","1,275.8","1,224.6","1,008.1",778.4,520.6,345.8,217.5,80.8,23.4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2023,WSL,FINAL,"-1,834.5",-29.8,-2.7,-6.1,-10.1,-11.2,-22.7,-17.7,-6.3,-18.4,-11.4,-17.0,-6.0,-11.3,-12.7,-21.7,-20.0,-20.4,-8.6,-7.0,-32.6,-7.9,-3.1,-3.0,-11.9,-4.0,-6.4,-6.8,-14.7,-4.9,-4.1,-7.3,-14.4,-13.3,-40.2,-55.8,-44.8,-94.1,-58.7,-10.2,-4.6,-9.9,-19.0,-42.4,-52.8,-7.8,-26.3,-40.0,-41.1,-9.5,-15.1,-10.1,-13.1,-12.5,-19.4,-21.9,-32.7,-19.6,-24.7,-42.9,-16.7,-31.1,-21.9,-30.3,-42.4,-9.8,-26.4,-16.4,-38.3,-4.0,-12.6,-21.8,-25.6,-14.9,-16.1,-23.6,-23.3,-7.5,-7.5,-8.2,-3.4,-18.9,-6.2,-7.7,-12.6,-35.6,-15.0,-8.5,-2.1,-36.2,-4.1,-21.8,-21.5,-20.1,-20.8,-13.9,-22.8
01/01/2023,Wind,FINAL,"394,469.3","5,389.3","5,398.2","5,439.6","5,458.3","5,426.2","5,422.9","5,351.8","5,299.9","5,298.7","5,256.8","5,238.3","5,178.1","5,174.0","5,149.7","5,123.2","5,103.6","5,112.7","5,053.8","5,060.3","5,113.8","5,048.3","4,997.0","4,998.6","4,964.0","4,963.9","4,920.8","4,834.0","4,731.4","4,638.3","4,544.7","4,434.6","4,298.9","4,185.2","4,187.6","4,130.4","3,912.3","3,781.3","3,629.4","3,410.8","3,136.5","2,828.0","2,584.5","2,448.4","2,397.7","2,383.9","2,345.1","2,297.4","2,371.1","2,462.0","2,492.6","2,425.2","2,313.2","2,219.4","2,097.0","2,020.7","1,938.9","1,886.2","1,850.3","1,899.4","1,970.2","2,016.1","2,094.3","2,142.5","2,184.6","2,263.1","2,328.9","2,342.4","2,438.7","2,524.1","2,563.6","2,785.6","3,095.6","3,442.5","3,862.6","4,259.3","4,561.2","4,802.7","5,032.2","5,095.7","5,269.9","5,359.5","5,393.1","5,393.0","5,378.3","5,420.6","5,604.9","5,703.1","5,763.2","5,832.0","5,884.5","6,049.6","6,062.4","5,970.3","5,923.1","5,818.4","5,779.4"
