Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/01/2023,1,1,N,HB_BUSAVG,SH,-2.56
01/01/2023,1,2,N,HB_BUSAVG,SH,-2.34
01/01/2023,1,3,N,HB_BUSAVG,SH,-1.96
01/01/2023,1,4,N,HB_BUSAVG,SH,-1.60
01/01/2023,1,1,N,HB_HOUSTON,HU,-2.56
01/01/2023,1,2,N,HB_HOUSTON,HU,-2.34
01/01/2023,1,3,N,HB_HOUSTON,HU,-1.96
01/01/2023,1,4,N,HB_HOUSTON,HU,-1.60
01/01/2023,1,1,N,HB_HUBAVG,AH,-2.56
01/01/2023,1,2,N,HB_HUBAVG,AH,-2.34
01/01/2023,1,3,N,HB_HUBAVG,AH,-1.95
01/01/2023,1,4,N,HB_HUBAVG,AH,-1.58
01/01/2023,1,1,N,HB_NORTH,HU,-2.56
01/01/2023,1,2,N,HB_NORTH,HU,-2.34
01/01/2023,1,3,N,HB_NORTH,HU,-1.96
01/01/2023,1,4,N,HB_NORTH,HU,-1.61
01/01/2023,1,1,N,HB_PAN,HU,-2.56
01/01/2023,1,2,N,HB_PAN,HU,-2.34
01/01/2023,1,3,N,HB_PAN,HU,-1.98
01/01/2023,1,4,N,HB_PAN,HU,-1.64
01/01/2023,1,1,N,HB_SOUTH,HU,-2.56
01/01/2023,1,2,N,HB_SOUTH,HU,-2.34
01/01/2023,1,3,N,HB_SOUTH,HU,-1.95
01/01/2023,1,4,N,HB_SOUTH,HU,-1.59
01/01/2023,1,1,N,HB_WEST,HU,-2.56
01/01/2023,1,2,N,HB_WEST,HU,-2.34
01/01/2023,1,3,N,HB_WEST,HU,-1.92
01/01/2023,1,4,N,HB_WEST,HU,-1.52
01/01/2023,1,1,N,LZ_AEN,LZ,-2.56
01/01/2023,1,1,N,LZ_AEN,LZEW,-2.56
01/01/2023,1,2,N,LZ_AEN,LZ,-2.34
01/01/2023,1,2,N,LZ_AEN,LZEW,-2.34
01/01/2023,1,3,N,LZ_AEN,LZ,-1.95
01/01/2023,1,3,N,LZ_AEN,LZEW,-1.95
01/01/2023,1,4,N,LZ_AEN,LZ,-1.59
01/01/2023,1,4,N,LZ_AEN,LZEW,-1.59
01/01/2023,1,1,N,LZ_CPS,LZ,-2.56
01/01/2023,1,1,N,LZ_CPS,LZEW,-2.56
01/01/2023,1,2,N,LZ_CPS,LZ,-2.34
01/01/2023,1,2,N,LZ_CPS,LZEW,-2.34
01/01/2023,1,3,N,LZ_CPS,LZ,-1.95
01/01/2023,1,3,N,LZ_CPS,LZEW,-1.95
01/01/2023,1,4,N,LZ_CPS,LZ,-1.58
01/01/2023,1,4,N,LZ_CPS,LZEW,-1.58
01/01/2023,1,1,N,LZ_HOUSTON,LZ,-2.56
01/01/2023,1,1,N,LZ_HOUSTON,LZEW,-2.56
01/01/2023,1,2,N,LZ_HOUSTON,LZ,-2.34
01/01/2023,1,2,N,LZ_HOUSTON,LZEW,-2.34
01/01/2023,1,3,N,LZ_HOUSTON,LZ,-1.96
01/01/2023,1,3,N,LZ_HOUSTON,LZEW,-1.96
01/01/2023,1,4,N,LZ_HOUSTON,LZEW,-1.60
01/01/2023,1,4,N,LZ_HOUSTON,LZ,-1.60
01/01/2023,1,1,N,LZ_LCRA,LZ,-2.56
01/01/2023,1,1,N,LZ_LCRA,LZEW,-2.56
01/01/2023,1,2,N,LZ_LCRA,LZ,-2.34
01/01/2023,1,2,N,LZ_LCRA,LZEW,-2.34
01/01/2023,1,3,N,LZ_LCRA,LZ,-1.95
01/01/2023,1,3,N,LZ_LCRA,LZEW,-1.95
01/01/2023,1,4,N,LZ_LCRA,LZ,-1.59
01/01/2023,1,4,N,LZ_LCRA,LZEW,-1.59
01/01/2023,1,1,N,LZ_NORTH,LZ,-2.56
01/01/2023,1,1,N,LZ_NORTH,LZEW,-2.56
01/01/2023,1,2,N,LZ_NORTH,LZ,-2.34
01/01/2023,1,2,N,LZ_NORTH,LZEW,-2.34
01/01/2023,1,3,N,LZ_NORTH,LZ,-1.97
01/01/2023,1,3,N,LZ_NORTH,LZEW,-1.96
01/01/2023,1,4,N,LZ_NORTH,LZ,-1.61
01/01/2023,1,4,N,LZ_NORTH,LZEW,-1.61
01/01/2023,1,1,N,LZ_RAYBN,LZEW,-2.56
01/01/2023,1,1,N,LZ_RAYBN,LZ,-2.56
01/01/2023,1,2,N,LZ_RAYBN,LZ,-2.34
01/01/2023,1,2,N,LZ_RAYBN,LZEW,-2.34
01/01/2023,1,3,N,LZ_RAYBN,LZ,-1.97
01/01/2023,1,3,N,LZ_RAYBN,LZEW,-1.97
01/01/2023,1,4,N,LZ_RAYBN,LZ,-1.61
01/01/2023,1,4,N,LZ_RAYBN,LZEW,-1.61
01/01/2023,1,1,N,LZ_SOUTH,LZ,-2.56
01/01/2023,1,1,N,LZ_SOUTH,LZEW,-2.56
01/01/2023,1,2,N,LZ_SOUTH,LZ,-2.34
01/01/2023,1,2,N,LZ_SOUTH,LZEW,-2.34
01/01/2023,1,3,N,LZ_SOUTH,LZEW,-1.95
01/01/2023,1,3,N,LZ_SOUTH,LZ,-1.95
01/01/2023,1,4,N,LZ_SOUTH,LZEW,-1.59
01/01/2023,1,4,N,LZ_SOUTH,LZ,-1.59
01/01/2023,1,1,N,LZ_WEST,LZ,-2.56
01/01/2023,1,1,N,LZ_WEST,LZEW,-2.56
01/01/2023,1,2,N,LZ_WEST,LZ,-2.34
01/01/2023,1,2,N,LZ_WEST,LZEW,-2.34
01/01/2023,1,3,N,LZ_WEST,LZEW,-1.83
01/01/2023,1,3,N,LZ_WEST,LZ,-1.83
01/01/2023,1,4,N,LZ_WEST,LZ,-1.35
01/01/2023,1,4,N,LZ_WEST,LZEW,-1.35
01/01/2023,2,1,N,HB_BUSAVG,SH,-1.49
01/01/2023,2,2,N,HB_BUSAVG,SH,-0.74
01/01/2023,2,3,N,HB_BUSAVG,SH,-1.16
01/01/2023,2,4,N,HB_BUSAVG,SH,-1.14
01/01/2023,2,1,N,HB_HOUSTON,HU,-1.49
01/01/2023,2,2,N,HB_HOUSTON,HU,-0.75
01/01/2023,2,3,N,HB_HOUSTON,HU,-1.16
01/01/2023,2,4,N,HB_HOUSTON,HU,-1.15
01/01/2023,2,1,N,HB_HUBAVG,AH,-1.47
01/01/2023,2,2,N,HB_HUBAVG,AH,-0.73
01/01/2023,2,3,N,HB_HUBAVG,AH,-1.14
01/01/2023,2,4,N,HB_HUBAVG,AH,-1.13
01/01/2023,2,1,N,HB_NORTH,HU,-1.51
01/01/2023,2,2,N,HB_NORTH,HU,-0.76
01/01/2023,2,3,N,HB_NORTH,HU,-1.17
01/01/2023,2,4,N,HB_NORTH,HU,-1.16
01/01/2023,2,1,N,HB_PAN,HU,-1.53
01/01/2023,2,2,N,HB_PAN,HU,-0.78
01/01/2023,2,3,N,HB_PAN,HU,-1.20
01/01/2023,2,4,N,HB_PAN,HU,-1.18
01/01/2023,2,1,N,HB_SOUTH,HU,-1.48
01/01/2023,2,2,N,HB_SOUTH,HU,-0.74
01/01/2023,2,3,N,HB_SOUTH,HU,-1.15
01/01/2023,2,4,N,HB_SOUTH,HU,-1.13
01/01/2023,2,1,N,HB_WEST,HU,-1.41
01/01/2023,2,2,N,HB_WEST,HU,-0.68
01/01/2023,2,3,N,HB_WEST,HU,-1.08
01/01/2023,2,4,N,HB_WEST,HU,-1.07
01/01/2023,2,1,N,LZ_AEN,LZ,-1.49
01/01/2023,2,1,N,LZ_AEN,LZEW,-1.49
01/01/2023,2,2,N,LZ_AEN,LZ,-0.74
01/01/2023,2,2,N,LZ_AEN,LZEW,-0.74
01/01/2023,2,3,N,LZ_AEN,LZ,-1.15
01/01/2023,2,3,N,LZ_AEN,LZEW,-1.15
01/01/2023,2,4,N,LZ_AEN,LZ,-1.14
01/01/2023,2,4,N,LZ_AEN,LZEW,-1.14
01/01/2023,2,1,N,LZ_CPS,LZ,-1.48
01/01/2023,2,1,N,LZ_CPS,LZEW,-1.48
01/01/2023,2,2,N,LZ_CPS,LZ,-0.73
01/01/2023,2,2,N,LZ_CPS,LZEW,-0.73
01/01/2023,2,3,N,LZ_CPS,LZ,-1.15
01/01/2023,2,3,N,LZ_CPS,LZEW,-1.15
01/01/2023,2,4,N,LZ_CPS,LZ,-1.13
01/01/2023,2,4,N,LZ_CPS,LZEW,-1.13
01/01/2023,2,1,N,LZ_HOUSTON,LZ,-1.49
01/01/2023,2,1,N,LZ_HOUSTON,LZEW,-1.49
01/01/2023,2,2,N,LZ_HOUSTON,LZ,-0.75
01/01/2023,2,2,N,LZ_HOUSTON,LZEW,-0.75
01/01/2023,2,3,N,LZ_HOUSTON,LZ,-1.16
01/01/2023,2,3,N,LZ_HOUSTON,LZEW,-1.16
01/01/2023,2,4,N,LZ_HOUSTON,LZ,-1.15
01/01/2023,2,4,N,LZ_HOUSTON,LZEW,-1.15
01/01/2023,2,1,N,LZ_LCRA,LZ,-1.48
01/01/2023,2,1,N,LZ_LCRA,LZEW,-1.48
01/01/2023,2,2,N,LZ_LCRA,LZ,-0.74
01/01/2023,2,2,N,LZ_LCRA,LZEW,-0.74
01/01/2023,2,3,N,LZ_LCRA,LZ,-1.15
01/01/2023,2,3,N,LZ_LCRA,LZEW,-1.15
01/01/2023,2,4,N,LZ_LCRA,LZ,-1.14
01/01/2023,2,4,N,LZ_LCRA,LZEW,-1.14
01/01/2023,2,1,N,LZ_NORTH,LZ,-1.51
01/01/2023,2,1,N,LZ_NORTH,LZEW,-1.51
01/01/2023,2,2,N,LZ_NORTH,LZ,-0.76
01/01/2023,2,2,N,LZ_NORTH,LZEW,-0.76
01/01/2023,2,3,N,LZ_NORTH,LZ,-1.17
01/01/2023,2,3,N,LZ_NORTH,LZEW,-1.17
01/01/2023,2,4,N,LZ_NORTH,LZ,-1.16
01/01/2023,2,4,N,LZ_NORTH,LZEW,-1.16
01/01/2023,2,1,N,LZ_RAYBN,LZ,-1.51
01/01/2023,2,1,N,LZ_RAYBN,LZEW,-1.51
01/01/2023,2,2,N,LZ_RAYBN,LZEW,-0.76
01/01/2023,2,2,N,LZ_RAYBN,LZ,-0.76
01/01/2023,2,3,N,LZ_RAYBN,LZ,-1.18
01/01/2023,2,3,N,LZ_RAYBN,LZEW,-1.17
01/01/2023,2,4,N,LZ_RAYBN,LZ,-1.16
01/01/2023,2,4,N,LZ_RAYBN,LZEW,-1.16
01/01/2023,2,1,N,LZ_SOUTH,LZEW,-1.48
